compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
BaLaOTiZr														6					4				3	3			1		
ClNaOPbPrTeYbZn										4																			
NbOY		13	4		1	1		1			1	3							1		1				4	3			
AlCeCrLaMgNdO																													
OPrTiV						1																							
MnNbOSc																								1					
AgNdPZn																			1										
ClNaOPSrY																													
LiOTmW																								1		1			
HOSnSrY																											1		
AlCaEuOZn										1																			
GeMgTb														2		1													
AlMnNiSm																													
CHLaOPTb																		2		7		2							
AsCsGdHKNaOW														1															
MnNaOPr						1	4	1					2	1							1	1		1					
AlCoFeLaSi												3																	
BaCrFGaGdInNaSrZn		1																											
FLaNbORb														2															
BBaMgOY																									1				
BRhRuTm																													
AlPrU																													
BaFTmZr																													
BHINdO																	1	1											
BrCsLuNb																													
NdNiOPr																								3	5				
CDyHNOReSe																1										1			
InPrZn																													
BiLaMnNaO																						2							
AlPrV			1																										
NSSm																													
ClCsTm		2	5																										
AlPrW																													
BiClEuLiO																									2				
AlPrY																													
MnNbOSm								4																					
CeNSiTb																4													
GeKOSm													1																
InSmTeTl																													
CFGdHNOPdS																							2						
GeMgTm														2		1													
OPWY		1			1				6				1																
AlCeMgO															1			3				1							
CHLaOPS			2					1				1		1				14				1							
AsPdYb																													
LaMoOPSr																													
MnNdOP		1																											
BaBiLaNaOTi										3										4	5			1					
ClErGdO																1													
DyOTa										1			1									1	1						
FeLuNb																													
LuORuY				2																									
BeGeLa																											1		
BaCeOPSiTbY																					8								
CCaHNOYb																	1												
CaEuLaMoOSrW														5															
CCeCoHNaOSbW																					1								
CaCeLiO																					2								
AsCuHfLa																									1				
NaOPSiY	3																												
DyLaMnOPb												4							2										
CoFeGaGd																													
AgPbY						3																							
DyOTe				1	1	1				1					1														
BBrCe		1																											
MnNdOV																			1										
CeOTiV						1	5																						
CeOTiW											4																		
CeDyMoO											1																		
DyOTh	1																												
ClCsNaPrY						1																							
CaCuGdORuSr						1				2																			
FeLaSiZr																					1								
CCeHOSSe															2														
FGdNaOPTb											1				4														
HoOZnZr																1													
AlBCClFHNY													2																
CeOTiY							1																						
FeLuNi											1																		
BrCFGdHMnNO																								1					
BaLiMoNaOY																									1				
CCrHNNd																	2												
DyOTi			1						1		7	1		2					2		5		3				2		
CeFHOS																										1			
CGaHNd																											1		
CsErOPZr										1																			
CCeFHMnNOS																				2									
BCHoLuNi	1		11		3																								
AlGdLuOTmY																	1												
CHLaOPd																										1			
AgLaMnOPb																3													
HILiOTb																													
CaCeCuOPbSr	1																												
BaBiLaOSi										2																			
BrCDyFHNOS																	1	1				1							
BIrYb																													
ClCsEuGdNa			4																										
FeHTbZr				9	1																								
BCuEu															1														
BBaKOPr																						1							
CEuHOTbY																								1			8		
CHKNORuTb	1																			1									
EuLaOTaTi																										1			
EuGdMgNaOTe																											7		
CDyFHNOPZn																							1		7				
CuMoOPrSr	7																												
BiNaNdOSrTi																										5			
BrCDyFHNOY																										1			
BiCuNdOSrTh																													
BaLaMgMnO																							1						
CaLaMnOTa										5														5					
BaBiLaOSr																													
BrCuLaOSe													1																
InNdS						1							1																
BaSbYb														1															
AlCeFeOY																								3					
AsLaOU						1																							
